hidden_layers,hidden_units,dropout_rate,learning_rate,weight_decay,batch_size,optimizer,scheduler,best_val_loss
5,894,0.23015850495169643,0.0004565786668013037,7.23052747980232e-05,439,AdamW,plateau,0.876900941964517
5,846,0.2572378152976774,5.8781145149623114e-05,4.059731517886468e-06,469,AdamW,plateau,0.8747121354218217
4,864,0.35147456872599325,0.0001309788692822343,1.7818633799430643e-06,354,AdamW,plateau,0.8762879637700683
3,893,0.39051694058964775,7.395902817180106e-05,2.834398272098146e-06,410,AdamW,plateau,0.880208003244839
5,755,0.3438608513682644,0.0007589602056109129,1.126552758177157e-06,333,AdamW,plateau,0.8797651801767269
3,774,0.31606388717123,0.0001691146957051334,9.298955830366289e-05,493,AdamW,plateau,0.878188026862867
6,874,0.34014427820016313,6.537652452325254e-05,2.05951799298168e-06,307,AdamW,plateau,0.8741659416640427
5,851,0.35744794252388623,1.6110545560795636e-05,3.0339980612853228e-06,452,AdamW,plateau,0.8945880574123386
6,618,0.34208399557385205,0.00017514219500859414,3.767382899798994e-05,338,AdamW,plateau,0.876780304770865
3,723,0.38109635145669196,6.527721516350747e-05,7.173092652633427e-06,354,AdamW,plateau,0.8798863501869214
6,661,0.2711926436447144,1.286237638865092e-05,0.0002593595975957549,254,AdamW,plateau,0.9217520566395019
6,822,0.27107803102115796,3.258571384553672e-05,1.3120870054569625e-05,281,AdamW,plateau,0.8784760880163371
4,813,0.2217083116923823,3.478394924969961e-05,6.62196197580382e-06,292,AdamW,plateau,0.8775680866449693
6,802,0.2835092287933009,3.8875545959820447e-05,5.007362102628623e-06,394,AdamW,plateau,0.8772247348450108
5,701,0.24360834164828754,0.0002789174487963575,1.5769788598659177e-05,489,AdamW,plateau,0.8750784694576869
4,846,0.20055170819221707,6.511322039802326e-05,1.1685792424804509e-06,310,AdamW,plateau,0.8747848859444309
6,797,0.31650819223856064,2.2711739279039668e-05,3.971829503257844e-06,448,AdamW,plateau,0.887469164703968
5,899,0.30004361752986786,8.412779036289261e-05,1.0472662569062221e-05,389,AdamW,plateau,0.8755031755937697
6,857,0.2544101711317882,0.0003017737294350957,2.7184080494483186e-05,252,AdamW,plateau,0.874712238553774
5,777,0.3172350342313141,4.379753782861664e-05,2.5322999129429577e-06,430,AdamW,plateau,0.8813725587900637
4,832,0.36802211491561526,0.00012368056082414953,1.7926914426993518e-06,312,AdamW,plateau,0.8805771090879522
6,865,0.2505443975330264,0.00035643968532408856,2.9993785012094092e-05,256,AdamW,plateau,0.8765328759181883
6,874,0.25304246405190534,0.0007638683116625943,6.469386014974711e-05,279,AdamW,plateau,0.8771728118521586
6,837,0.2879943040334933,0.00022624268373568624,2.1315536539232028e-05,473,AdamW,plateau,0.8766767316250261
5,878,0.2654204774954532,5.595843753463162e-05,0.0002075335080946155,305,AdamW,plateau,0.8756949724318989
6,784,0.21647682933304158,0.00010640539906946548,8.059600372848359e-06,273,AdamW,plateau,0.8737705328355289
5,738,0.21570670529394198,0.00010906872520156915,8.695651558378474e-06,363,AdamW,plateau,0.8738645327019987
6,721,0.2238793654356543,0.0001036383047138731,8.497644770008706e-06,332,AdamW,plateau,0.8741441131359218
